number,comment, label
1,СПбГУ будет переведён в Пушкин. Достраивать объекты в Петергофе нет смысла.,0
2,ждём ремонт каховки 3 года,0
3,Спасибо большое❤,0
4,Поздравляем 💙,0
5,Вы лучшие! 🦋❤,0
6,Спасибочки💚,0
7,"О, на журфаке наконец-то откроют столовую?",0
8,СПО Регион 116💚✨,0
9,Регион 116💚,0
10,регион 116!!!✅🍀💚🐸,0
11,Регион 116💚💚,0
12,СПО РЕГИОН 116💚,0
13,"[id156765405|Алия] ,с праздником 🥳",0
14,"[id152121219|Юлия], спасибо, самый лучший человек на свете!!❤️",0
15,[id80667768|Анастасия] поздравляю с днем студента 💫,0
16,"[id555070215|Диляра], и тебя ❤️",0
17,"[id233979483|Динара] , поздравляю тебя вновь с днём студента 🎂",0
18,"[id394651075|Чулпан] ,с днем студента💙",0
19,"Поздравляю, [id437452712|Юлия]",0
20,"[id769639069|Лидия], ещё раз с праздником! ♥️",0
21,[id227798151|Angeliza] с днем вкусной пиццы в пекарне на перемене,0
22,"[id364344295|Олеся] , поздравляю!🔥❤",0
23,[id258659053|Алсу] поздравляю! 🥳,0
24,"[id437452712|Юлия], [id364344295|Олеся], поздравляю!!",0
25,"[id191824231|Алина], С Праздником! ❤️🫰",0
26,"[id163559634|Динара] , поздравляю тебя с прошедшим днем студента ❤️",0
27,"[id490973588|Алиса] , поздравляю тебя с праздником🔥❤💋",0
28,"[id605621438|Кирилл], акция благотворительная,  оплачивается только проживание и питание)",0
29,А платить будут?,0
30,Лейла лучшая! 💙,0
31,"Спасибо всем, мои хорошие ❤🙆 😢",0
32,Unwirkliche Schönheit!,0
33,"Моя же любимая 😍 И согласна с этим лучезарным человечком на все 100% Если бы не Десант, то и не мы😅",0
34,Лэйла Ниязова лучшая вожатая в мире!!!!!💋❤,0
35,Физкультура и спорт помогают подготовиться к экзаменам,0
36,Любимые треки на фоне тоже тема 💁🎧,0
37,"Поздравляю вас, друзья🔥Вы большие молодцы, Лейла и Артём👍 Рада, что у Штаба такой классный ком. состав 💪 Отрадно видеть успехи людей ""Лотоса"", ведь #сервисныйсила 💚",0
38,Спасибо большое❤️,0
