number,comment,label
6252,"[id82234233|Фарида], верно подмечено 😌👍🏻",0
4684,"Обычно бухгалтера занимаются сВеркой и сВодкой...


",1
1731,"Из школьного сочинения:Суворов был настоящим мужчиной и спал с простыми солдатами.
",1
4742,"Василиса - Прекрасная после ночи с Иванушкой - Дурачком:- Да-а, не царское это тело...
",1
4521,"Русский человек даже обыкновенный гвоздь забивает с надрывом.

",1
6340,"Я так понимаю, это входит в программу обучения.",0
576,"Хорошо, когда правительство переживает за народ, и плохо, когда это
единственное, что оно делает.


",1
5202,Ну нам вручать синие в универе будут 🤷‍♂️,0
6363,С днём рождения🤍,0
439,"Искусство требует жертв, и с каждым днем их становится все больше.


",1
2750,"АлмаС
Если у нас много баб с яйцами, то столько же на Руси и пострадавших
мужиков.


",1
7487,"Такая ситуация, если в последней сессии были одни зачеты у Вас.  Потому что оценок нет и платится базовая стипендия.",0
5272,"Из 6 дверей открыта лишь одна, и так у Олеси😍",0
5653,"[id424689366|Лена], и снова 3-е сентября 🥺 На фото я твоё взгляну...  У вас осталось 7 попыток из 16.   🎁 Осталось 87 призов.",0
3999,"Филипп Киркоров перепел Таркана и Рикки Мартина, переозвучил Ричарда Гира, в ближайших планах звезды перерисовать Сальвадора Дали и отксерить Достоевского.

",1
6033,Шедеврально😍 Александр Иконников класс👍,0
582,"Пошлость -- это грань до которой не многие могут подняться    БРВ


",1
9930,,0
7051,иду на студвесну тэф ❤,0
8158,Молодцы 👏🏻,0
9896,"Добрый турнир, веселый",0
2249,"Некоторые преподы ставят оценки исключительно в бинарной системе


",1
4640,"Алекс от Юстаса недалеко падает...


",1
9485,,0
4947,"Палочка обручалочка


",1
9920,этот парень реально крут,0
1963,"Идеалист тот, кто, заметив, что роза пахнет лучше капусты, заключает,
что и суп из нее будет лучше.


",1
8243,"[id180939421|Кирилл], есть бесплатный аналог - Plantie",0
6590,Напиши в личку )расскажу свой опыт если нужно.,0
8847,"[id190820928|Анастасия], испытайте удачу снова 😉 Дарим ещё 2 попытки.",0
321,""" Я блин Баха люблю, когда его Люсьер играет, но это же не лишает меня возможности видеть прекрасное в группе Время Срать.

",1
2678,"""Verderben"" как меня на ржач пробивало на инженерке при фразе ""раствор циркуля""

",1
4625,"Машина не черепаха, угонят - не догонишь!


",1
4949,"Кит плавает вокруг самки и с упреком говорит:
- Сколько стран, сотни экологических организаций, выдающиеся
политические лидеры, миллионы людей - все они борются за то,
чтобы наш вид выжил, а ты мне говоришь - голова болит...

",1
8328,"[id282355707|Кристина], АХАХАХЗПХЗХЗПАХЗАП",0
3337,"Еда с Вашего стола не заменит пиво программисту.


",1
5589,,0
251,"Прокладки с крылышками разлетались как горячие пирожки.


",1
3973,"Череповатые последствия


",1
6630,"[id381888564|Xiuston], там так и есть",0
5547,А еще мы 2 года вместе с [id221949677|Валентиной Николаевной Дегтеревской] ездили в Великий Новгород для участия в раскопках знаменитого В.Л. Янина.,0
35,"Мне некогда работать - мне надо деньги зарабатывать!


",1
8362,,0
1513,"Надпись на упаковке лекарства: ""Перед применением заболеть"".
",1
9317,с днем нового активиста!!!♥️♥️♥️,0
39,"Любовь это то, что у женщин сидит внутри, а у мужчин часто выпирает
наружу.


",1
4819,"Если тебе не завидуют, то ты ничего не стоишь.


",1
3465,"Не по Хуану самбреро


",1
1760,"Уверенные в своей красоте женщины косметикой не пользуются.


",1
2304,"Чем лучше вечерoм, тем xуже утрoм.


",1
3723,"Один PageUp вперед - два Page Down назад!


",1
8284,AK1,0
4993,"После того, как было изобретено безалкогольное пиво, нам не оставалось ничего другого, как изобрести алкогольное мороженое.

",1
8127,"Поздравляю Великого, несравненного, непривзайденного Фаруха)",0
3032,"Психоз на почве собственной исключительности


",1
7938,"мб тебя изнасиловала собака в детстве, что ты вот щас зверей похотливых на авы ставишь, в первую очередь тут тебя надо анализировать",0
3039,"""hams"" муси-пуси линукс-сусе
""hams"" джага-джага, виндоус - шняга

",1
9655,"[id343692383|Sophie], пульс из миа превращается в мем-блог (познавательный!!!)",0
2545,"Женщина-олигарх - оли-баба.


",1
